general_info;
month;August
year;2013
total_incidents_monthly;11
total_responses_monthly;20
incidents_since;
since_incidents;34
since_responses;25
since_at_least_one_response;10
since_year;2013
since_month;May
hate_crimes_cases_in_a_year;
trials_ongoing;2
convictions;6
acquittals;1
monthly_preview;
i_jan;0
i_feb;0
i_mar;0
i_apr;0
i_may;11
i_june;6
i_july;6
i_aug;11
i_sep;0
i_oct;0
i_nov;0
i_dec;0
victim_characteristics;
vc_ethnicity_religion;11
vc_sexual_orientation;0
vc_other;0
incidents;
i_physical_violence;1
i_property_damage;2
i_damage_religious_facilities_desecration_of_graveyards;2
i_offensive_graffiti;1
i_verbal_assault;3
i_insulting_phone_internet_sms_messages;0
i_hate_speech;1
i_displaying_symbols;0
i_other;1
responses;
r_public_condemnation_officials;11
r_public_condemnation_religious_leaders;2
r_public_condemnation_civil_society;7
r_repairing_damaged_property_graffiti_removal_clean_up_action;0
r_peaceful_gathering_march;0
r_other;0
r_highlighted_action_en;Srebrenica and Bratunac joint coalition “Bunt protiv mržnje” condemned incidents in August: WE ARE ALL RESPONSIBLE, and when we say all, we mean the entire local community and each individual that lives in this area. We, the youth who have gathered for a common initiative, proclaim that we take responsibility and invite all citizens, meaning the civic, religious and political sector to do the same. 
r_highlighted_action_bs;PREVEDENI TEXT.
prevention;
p_local_coalitions_preventive_actions;3
p_local_strategies_to_prevent_hate_to_date;0
geographical_presentation_incidents;
Banja Luka;0
Bihać;0
Bijeljina;0
Bugojno;0
Doboj;0
Donji Vakuf;1
Gradiška;1
Ilidža;0
Kneževo;2
Livno;1
Mostar;0
Novi Travnik;0
Prijedor;0
Sarajevo;0
Srebrenica;0
Stari Grad Sarajevo;1
Tomislavgrad;0
Travnik;1
Trebinje;0
Tuzla;1
Zenica;0
geographical_presentation_responses;
Banja Luka;5
Bihać;4
Bijeljina;3
Bugojno;1
Doboj;2
Donji Vakuf;9
Gradiška;3
Ilidža;7
Kneževo;1
Livno;1
Mostar;2
Novi Travnik;5
Prijedor;1
Sarajevo;4
Srebrenica;3
Stari Grad Sarajevo;2
Tomislavgrad;1
Travnik;1
Trebinje;4
Tuzla;2
Zenica;1
