general_info;
month;August
year;2013
total_incidents;55
total_responses;10
responses_to_incidents;5
incidents_since;
since_incidents;70
since_at_least_one_response;70
since_year;2013
since_month;May
hate_crimes_cases_in_a_year;
trials_ongoing;2
convictions;2
acquittals;1
monthly_preview;
i_jan;0
i_feb;0
i_mar;0
i_apr;0
i_may;20
i_june;30
i_july;15
i_aug;0
i_sep;0
i_oct;0
i_nov;0
i_dec;0
victim_characteristics;
vc_ethnicity_nationality_religion;2
vc_race_colour;3
vc_sexual_orientation;0
vc_sex_gender;1
vc_language_script;0
vc_political_affiliation;5
vc_social_origin_social status;1
vc_age;0
vc_health;0
vc_other;0
incidents;
i_physical_assault;2
i_murder;3
i_rape;5
i_theft_robbery_armedrobbery;22
i_property_damage;1
i_damage_religious_facilities;3
i_desecrating_graveyards_gravestones;4
i_arson;0
i_verbal_assault;0
i_graffiti;0
i_distribution_offensive_materials;0
i_displaying_flags_symbols;0
i_insulting phone_internet_sms_messages ;4
i_other;0
responses;
r_public_condemnation_religious_leaders;1
r_public_condemnation_civil_society ;0
r_graffiti_removal;0
r_repairing_damaged_property  ;4
r_repairing_cleaning_cemetery;0
r_peaceful_gathering_vigil_march;0
r_petition_letter-writing;2
r_social_media_campaign;0
r_roundtable_conference;1
r_concert_performance_exhibition ;1
r_other;0
r_highlighted_response;In Bihac, XX organized XX...
geographical_presentation_incidents;
Sarajevo;1
Banja Luka;2
Tuzla;1
Srebrenica;1
Zenica;1
geographical_presentation_responses;
Bihaæ;1
Sarajevo;2
Livno;2
Trebinje;4
Bijeljina;1
